fid,item_id,lon,lat,Year
285,1047,-73.33,4.33,After 2000
286,1050,-59.47,-1.92,After 2000
287,1060,-115.48,35.01,After 2000
288,1067,-7.4,38.22,After 2000
289,1071,101.37,14.43,After 2000
290,1076,-109.87,32.7,After 2000
291,1088,12.28,60.02,After 2000
292,1092,-64.27,-2.35,After 2000
293,1092,-67.38,-1.82,After 2000
294,1093,-101.85,35.2,After 2000
295,1102,126.1,-17.53,After 2000
296,1103,145.99,-37.68,After 2000
297,1109,-57.82,-21.63,After 2000
298,1110,-79.85,9.17,After 2000
299,1111,-50.21,-29.49,After 2000
300,1112,-122.14,37.04,After 2000
301,1115,-75.37,-10.37,After 2000
302,1119,-98.57,29.68,After 2000
303,1120,-98.57,29.68,After 2000
304,1120,-122,42,After 2000
305,1131,-124.18,43.72,After 2000
306,1132,102.02,31.92,After 2000
307,1133,-120.25,52.92,After 2000
308,1135,149.22,-23.53,After 2000
309,1146,-155.2,19.38,After 2000
310,1152,148.78,-35.57,After 2000
311,1155,-155.2,19.38,After 2000
312,1157,-155.2,19.38,After 2000
313,1162,107.45,15.95,After 2000
314,1162,107.87,16.2,After 2000
315,1163,-53.3,4.58,After 2000
316,1174,-6.5,37,After 2000
317,1175,89.75,49.82,After 2000
318,1177,-100.57,32.74,After 2000
319,1180,-43.29,-22.95,After 2000
320,1181,117.88,4.96,After 2000
321,1181,115.57,5.07,After 2000
322,1181,118.72,5.21,After 2000
323,1181,117.41,5.35,After 2000
324,1181,117.22,5.44,After 2000
325,1181,117.3,6.24,After 2000
326,1181,117.4,6.41,After 2000
327,1187,36.71,-7.77,After 2000
328,1188,-88.67,18.13,After 2000
329,1190,36.7,-7.74,After 2000
330,1192,-97.01,34.46,After 2000
331,1193,31.15,-28,After 2000
332,1196,-85.17,40.72,After 2000
333,1200,-73.18,42.89,After 2000
334,1201,-118.93,34.12,After 2000
335,1202,141.14,-29.75,After 2000
336,1203,141.08,-33.29,After 2000
337,1205,153.03,-26.21,After 2000
338,1215,132.67,-12.42,After 2000
339,1217,-123.04,41.02,After 2000
340,1217,-123.3,41.51,After 2000
341,1219,-122.81,39.56,After 2000
342,1222,-126.6,50.2,After 2000
343,1223,-123.25,51.17,After 2000
344,1227,-122.25,43.22,After 2000
345,1227,-121.5,44,After 2000
346,1231,-122.8,53.88,After 2000
347,1234,-119.6,38.3,After 2000
348,1236,-127.1,54.85,After 2000
349,1239,-70.1,41.28,After 2000
350,1240,145.82,-17.42,After 2000
351,1240,145.8,-17.28,After 2000
352,1240,145.85,-17.27,After 2000
353,1240,145.68,-17.18,After 2000
354,1240,145.62,-17.07,After 2000
355,1240,145.63,-17.02,After 2000
356,1240,145.67,-17,After 2000
357,1240,145.65,-16.88,After 2000
358,1246,-155.2,19.38,After 2000
359,1257,148,-43.23,After 2000
360,1258,174.63,-36.7,After 2000
361,1259,171.95,-41.86,After 2000
362,1260,169.38,-45.82,After 2000
363,1261,171.37,-44.27,After 2000
364,1262,-119.5,33.25,After 2000
365,1296,-81.783333,7.466667,After 2000
366,1302,47.42,-21.26,After 2000
367,1305,103.82,1.34,After 2000
368,1306,103.96,1.41,After 2000
369,1307,145.98,-43.35,After 2000
370,1307,145.98,-43.31,After 2000
371,1313,-71.52,-40.78,After 2000
372,1320,-68.44,45.14,After 2000
373,1321,-99.01,22.08,After 2000
374,1326,-119.77,34.03,After 2000
375,1374,-70.36,-10.02,After 2000
376,1375,-77.6,-0.69,After 2000
377,1375,-77.55,-0.38,After 2000
378,1378,-63.41,-24.28,After 2000
379,1378,-63.21,-24.18,After 2000
380,1378,-63.61,-24.13,After 2000
381,1378,-63.49,-24.13,After 2000
382,1378,-63.39,-24.09,After 2000
383,1379,-77.6,-0.7,After 2000
384,1380,-73.18,42.89,After 2000
385,1381,38.75,-3.56,After 2000
386,1394,139.42,35.76,After 2000
387,1395,131.35,32.02,After 2000
388,1396,150.35,-35.83,After 2000
389,1403,-66,-26,After 2000
390,1406,25.16,-17.83,After 2000
391,1409,-54.43,-25.68,After 2000
392,1412,77.52,27.17,After 2000
393,1413,101.92,16.08,After 2000
394,1422,102.47,4.7,After 2000
395,1425,138.62,36.23,After 2000
396,1435,80.5,6.42,After 2000
397,1452,153.07,-26.65,After 2000
398,1457,-116.05,50.88,After 2000
399,1457,-116.49,51.4,After 2000
400,1457,-116,51.5,After 2000
401,1462,31.24,40.95,After 2000
402,1464,100.57,13.85,After 2000
403,1465,99.81,13.68,After 2000
404,1472,28.31,-25.38,After 2000
405,1484,76.55,11.58,After 2000
406,1488,-120.04,38.91,After 2000
407,1494,-87.03,40.44,Before 2000
408,1494,-87.18,40.44,Before 2000
409,1494,-87.09,40.46,Before 2000
410,1494,-87.03,40.51,Before 2000
411,1497,102.47,4.7,After 2000
412,1498,101.37,4.04,After 2000
413,1501,-84.25,33.78,After 2000
414,1505,-111.65,35.18,After 2000
415,1510,-82.7,41.45,After 2000
416,1511,128.23,26.73,After 2000
417,1515,102.31,2.98,After 2000
418,1516,33,0.41,After 2000
419,1516,30.39,0.49,After 2000
420,1516,31.58,1.79,After 2000
421,1525,79.94,28.65,After 2000
422,1527,84.02,28.82,After 2000
423,1528,25.96,27.4,After 2000
424,1529,36.57,28.4,After 2000
425,1530,63.99,40.42,After 2000
426,1531,-66.41,10.06,After 2000
427,1532,77.16,28.58,After 2000
428,1538,-84.26,37.68,After 2000
429,1548,-83.1,29.25,After 2000
430,1554,128.2,26.75,After 2000
431,1556,-122,38.8,After 2000
432,1557,-103.65,30.35,After 2000
433,1560,99.27,27.16,After 2000
434,1562,140.1,35.98,After 2000
435,1583,-69.32,43.77,After 2000
436,1588,101.55,16.34,After 2000
437,1593,-118.87,37.92,After 2000
438,1593,-119.01,38.02,After 2000
439,1593,-119.01,38.21,After 2000
440,1594,116.97,-29.58,After 2000
441,1599,-79.67,9.08,After 2000
